DATE,ACTUAL RAINFALL (mm)
01-07-2018,7.81
02-07-2018,11.29
03-07-2018,11.73
04-07-2018,11.36
05-07-2018,9.34
06-07-2018,9.07
07-07-2018,12.82
08-07-2018,11.79
09-07-2018,12.63
10-07-2018,14.08
11-07-2018,14.52
12-07-2018,17.33
13-07-2018,15.68
14-07-2018,14.44
15-07-2018,17.84
16-07-2018,19.41
17-07-2018,17.65
18-07-2018,8.81
19-07-2018,10.77
20-07-2018,13.35
21-07-2018,18.69
22-07-2018,18.93
23-07-2018,12.61
24-07-2018,9.34
25-07-2018,9.5
26-07-2018,12.31
27-07-2018,7.83
28-07-2018,6.45
29-07-2018,7.22
30-07-2018,10.2
31-07-2018,9.5
01-08-2018,7.82
02-08-2018,9.32
03-08-2018,5.8
04-08-2018,5.22
05-08-2018,5.68
06-08-2018,7.94
07-08-2018,10.25
08-08-2018,14.45
09-08-2018,7.85
10-08-2018,5.18
11-08-2018,8.65
12-08-2018,14.63
13-08-2018,15.07
14-08-2018,10.74
15-08-2018,10.69
16-08-2018,21.5
17-08-2018,15.37
18-08-2018,7.31
19-08-2018,7.79
20-08-2018,17.16
21-08-2018,19.54
22-08-2018,10.49
23-08-2018,8.26
24-08-2018,7.93
25-08-2018,10.34
26-08-2018,12.06
27-08-2018,12.77
28-08-2018,8.5
29-08-2018,9.14
30-08-2018,7.29
31-08-2018,8.57
01-09-2018,13.03
02-09-2018,9.66
03-09-2018,8.38
04-09-2018,6
05-09-2018,6.84
06-09-2018,11.42
07-09-2018,11.33
08-09-2018,7.58
09-09-2018,5.86
10-09-2018,5.7
11-09-2018,6.55
12-09-2018,5.21
13-09-2018,4.68
14-09-2018,5.06
15-09-2018,3.98
16-09-2018,3.57
17-09-2018,3.86
18-09-2018,2.9
19-09-2018,2.58
20-09-2018,4.73
21-09-2018,10.97
22-09-2018,14.37
23-09-2018,11.72
24-09-2018,12.08
25-09-2018,6.01
26-09-2018,4.06
27-09-2018,3.96
28-09-2018,2.55
29-09-2018,3.07
30-09-2018,1.57
01-10-2018,1.69
02-10-2018,2.19
03-10-2018,1.33
04-10-2018,2.96
05-10-2018,1.88
06-10-2018,1.85
07-10-2018,0.86
08-10-2018,1.44
09-10-2018,2.51
10-10-2018,2.25
11-10-2018,6.52
12-10-2018,7.74
13-10-2018,2.9
14-10-2018,1.22
15-10-2018,1.78
16-10-2018,1.06
17-10-2018,2.05
18-10-2018,1.49
19-10-2018,0.97
20-10-2018,0.65
21-10-2018,0.76
22-10-2018,0.53
23-10-2018,0.26
24-10-2018,0.13
25-10-2018,0.44
26-10-2018,0.04
27-10-2018,0.1
28-10-2018,0.5
29-10-2018,0.15
30-10-2018,0.12
31-10-2018,0.13
01-11-2018,0.53
02-11-2018,2.25
03-11-2018,2.89
04-11-2018,2.34
05-11-2018,1.03
06-11-2018,0.48
07-11-2018,0.32
08-11-2018,0.27
09-11-2018,0.26
10-11-2018,0.1
11-11-2018,0.03
12-11-2018,0
13-11-2018,0.18
14-11-2018,0.39
15-11-2018,1.36
16-11-2018,2.12
17-11-2018,1.29
18-11-2018,0.49
19-11-2018,1.03
20-11-2018,1.4
21-11-2018,0.7
22-11-2018,1.54
23-11-2018,0.99
24-11-2018,1.37
25-11-2018,0.04
26-11-2018,0.01
27-11-2018,0
28-11-2018,0
29-11-2018,0.3
30-11-2018,0.35
01-12-2018,0.03
02-12-2018,0.01
03-12-2018,0.05
04-12-2018,0.43
05-12-2018,0.65
06-12-2018,0.25
07-12-2018,0.49
08-12-2018,0.13
09-12-2018,0.03
10-12-2018,0.21
11-12-2018,0.86
12-12-2018,0.24
13-12-2018,0.56
14-12-2018,0.22
15-12-2018,0.07
16-12-2018,0.25
17-12-2018,3.53
18-12-2018,7.27
19-12-2018,1.98
20-12-2018,0.06
21-12-2018,0
22-12-2018,0.13
23-12-2018,0.19
24-12-2018,0.1
25-12-2018,0.1
