DATE,WATER LEVEL (m),ACTUAL RAINFALL (mm),FLOOD DANGER LEVEL
01-07-2018,233.52,7.81,0
02-07-2018,233.64,11.29,1
03-07-2018,233.58,11.73,1
04-07-2018,233.69,11.36,1
05-07-2018,233.81,9.34,0
06-07-2018,233.76,9.07,0
07-07-2018,233.63,12.82,1
08-07-2018,233.56,11.79,1
09-07-2018,233.5,12.63,1
10-07-2018,233.5,14.08,1
11-07-2018,233.49,14.52,1
12-07-2018,233.46,17.33,1
13-07-2018,233.48,15.68,1
14-07-2018,233.45,14.44,1
15-07-2018,233.52,17.84,1
16-07-2018,233.54,19.41,1
17-07-2018,233.69,17.65,1
18-07-2018,233.69,8.81,0
19-07-2018,233.66,10.77,1
20-07-2018,233.86,13.35,1
21-07-2018,233.7,18.69,1
22-07-2018,233.58,18.93,1
23-07-2018,233.78,12.61,1
24-07-2018,233.76,9.34,0
25-07-2018,233.65,9.5,0
26-07-2018,234.02,12.31,1
27-07-2018,234.15,7.83,0
28-07-2018,233.96,6.45,0
29-07-2018,233.96,7.22,0
30-07-2018,234.02,10.2,1
31-07-2018,234.4,9.5,0
01-08-2018,234.53,7.82,0
02-08-2018,234.17,9.32,0
03-08-2018,234.05,5.8,0
04-08-2018,233.83,5.22,0
05-08-2018,NA,5.68,0
06-08-2018,233.81,7.94,0
07-08-2018,234.05,10.25,1
08-08-2018,233.97,14.45,1
09-08-2018,234.3,7.85,0
10-08-2018,234,5.18,0
11-08-2018,233.94,8.65,0
12-08-2018,NA,14.63,1
13-08-2018,233.94,15.07,1
14-08-2018,233.94,10.74,1
15-08-2018,NA,10.69,1
16-08-2018,233.93,21.5,1
17-08-2018,234.04,15.37,1
18-08-2018,234.03,7.31,0
19-08-2018,NA,7.79,0
20-08-2018,233.91,17.16,1
21-08-2018,233.73,19.54,1
22-08-2018,NA,10.49,1
23-08-2018,233.99,8.26,0
24-08-2018,234.3,7.93,0
25-08-2018,234.1,10.34,1
26-08-2018,NA,12.06,1
27-08-2018,234.51,12.77,1
28-08-2018,234.42,8.5,0
29-08-2018,234.44,9.14,0
30-08-2018,234.38,7.29,0
31-08-2018,234.33,8.57,0
01-09-2018,234.37,13.03,1
02-09-2018,233.88,9.66,0
03-09-2018,233.78,8.38,0
04-09-2018,234.19,6,0
05-09-2018,234.23,6.84,0
06-09-2018,234.46,11.42,1
07-09-2018,234.4,11.33,1
08-09-2018,234.45,7.58,0
09-09-2018,234.4,5.86,0
10-09-2018,234.29,5.7,0
11-09-2018,234.28,6.55,0
12-09-2018,234.34,5.21,0
13-09-2018,234.29,4.68,0
14-09-2018,234.26,5.06,0
15-09-2018,234.29,3.98,0
16-09-2018,234.18,3.57,0
17-09-2018,234.25,3.86,0
18-09-2018,234.13,2.9,0
19-09-2018,234.13,2.58,0
20-09-2018,234.22,4.73,0
21-09-2018,234.2,10.97,1
22-09-2018,233.95,14.37,1
23-09-2018,233.83,11.72,1
24-09-2018,234.28,12.08,1
25-09-2018,234.29,6.01,0
26-09-2018,234.29,4.06,0
27-09-2018,234.25,3.96,0
28-09-2018,234.29,2.55,0
29-09-2018,233.91,3.07,0
30-09-2018,233.76,1.57,0
